movie_id;movie_title
tt0033253;The Westerner (1940)
tt0033373;Ball of Fire (1941)
tt0033467;Citizen Kane (1941)
tt0033532;All That Money Can Buy (1941)
tt0033533;The Devil and Miss Jones (1941)
tt0033537;Dive Bomber (1941)
tt0033563;Dumbo (1941)
tt0033660;The Ghost Train (1941)
tt0033717;High Sierra (1941)
tt0033723;Hold That Ghost (1941)
tt0033804;The Lady Eve (1941)
tt0033836;The Little Foxes (1941)
tt0033870;The Maltese Falcon (1941)
tt0033891;Meet John Doe (1941)
tt0034167;Sergeant York (1941)
tt0034240;Sullivan's Travels (1941)
tt0034248;Suspicion (1941)
tt0034251;Swamp Water (1941)
tt0034398;The Wolf Man (1941)
tt0034492;Bambi (1942)
tt0034583;Casablanca (1942)
tt0034587;Cat People (1942)
tt0034780;George Washington Slept Here (1942)
tt0034798;The Glass Key (1942)
tt0035015;The Magnificent Ambersons (1942)
tt0035019;The Major and the Minor (1942)
tt0035093;Mrs. Miniver (1942)
tt0035100;My Favorite Blonde (1942)
tt0035211;The Pride of the Yankees (1942)
tt0035238;Random Harvest (1942)
tt0035279;Saboteur (1942)
tt0035423;Kate & Leopold (2001)
tt0035432;This Gun for Hire (1942)
tt0035446;To Be or Not to Be (1942)
tt0035515;La vie de bohème (1945)
tt0035530;Wake Island (1942)
tt0035567;Woman of the Year (1942)
tt0035631;The Amazing Mrs. Holliday (1943)
tt0036126;Madame Curie (1943)
tt0036244;The Ox-Bow Incident (1943)
tt0036261;Phantom of the Opera (1943)
tt0036341;The Seventh Victim (1943)
tt0036342;Shadow of a Doubt (1943)
tt0036506;Vredens dag (1943)
tt0036613;Arsenic and Old Lace (1944)
tt0036711;Christmas Holiday (1944)
tt0036775;Double Indemnity (1944)
tt0036818;Die Feuerzangenbowle (1944)
tt0036855;Gaslight (1944)
tt0036868;The Best Years of Our Lives (1946)
tt0036880;The Great Moment (1944)
tt0036891;Hail the Conquering Hero (1944)
tt0037008;Laura (1944)
tt0037017;Lifeboat (1944)
tt0037055;The Mask of Dimitrios (1944)
tt0037059;Meet Me in St. Louis (1944)
tt0037077;The Miracle of Morgan's Creek (1944)
tt0037101;Murder, My Sweet (1944)
tt0037120;National Velvet (1944)
tt0037166;Passage to Marseille (1944)
tt0037193;The Princess and the Pirate (1944)
tt0037382;To Have and Have Not (1944)
tt0037492;Bud Abbott and Lou Costello in Hollywood (1945)
tt0037515;And Then There Were None (1945)
tt0037558;Brief Encounter (1945)
tt0037638;Detour (1945)
tt0037644;Dillinger (1945)
tt0037674;Les enfants du paradis (1945)
tt0037865;Leave Her to Heaven (1945)
tt0037884;The Lost Weekend (1945)
tt0037913;Mildred Pierce (1945)
tt0037988;The Picture of Dorian Gray (1945)
tt0038057;Scarlet Street (1945)
tt0038120;Story of G.I. Joe (1945)
tt0038190;A Tree Grows in Brooklyn (1945)
tt0038235;A Walk in the Sun (1945)
tt0038279;13 Rue Madeleine (1946)
tt0038348;La belle et la bête (1946)
tt0038355;The Big Sleep (1946)
tt0038363;Blithe Spirit (1945)
tt0038369;The Blue Dahlia (1946)
tt0038455;The Dark Mirror (1946)
tt0038559;Gilda (1946)
tt0038622;Humoresque (1946)
tt0038650;It's a Wonderful Life (1946)
tt0038669;The Killers (1946)
tt0038700;The Locket (1946)
tt0038733;A Matter of Life and Death (1946)
tt0038769;Die Mörder sind unter uns (1946)
tt0038777;A Night in Casablanca (1946)
tt0038787;Notorious (1946)
tt0038854;The Postman Always Rings Twice (1946)
tt0038873;The Razor's Edge (1946)
tt0038890;Roma città aperta (1945)
