ID,# pos actors,# neg actors,# actors,# pos genres,# neg_genres,# genres,# pos movies,# neg movies,# movies,# pos keywords,# neg keywords,# keywords
1an2j2,0,0,0,0,0,0,1,1,2,1,1,2
1aqsq4,0,0,0,0,0,0,1,1,2,1,1,2
1asnr5,1,0,1,0,0,0,4,1,5,1,1,2
1at6f6,0,0,0,0,0,0,1,1,2,2,1,3
1axa14,0,0,0,0,0,0,4,1,5,3,1,4
1aypmu,0,0,0,1,0,1,1,1,2,2,1,3
1b35jt,1,0,1,0,0,0,5,1,6,1,1,2
1bhqgl,0,0,0,0,0,0,27,1,28,4,1,5
1bqea4,0,0,0,0,0,0,7,1,8,3,1,4
1brt24,0,0,0,0,0,0,1,1,2,1,1,2
1bvzck,0,0,0,1,0,1,4,1,5,1,1,2
1c0imi,0,0,0,1,0,1,5,1,6,1,1,2
1cf2zt,0,0,0,0,0,0,2,1,3,5,1,6
1cg947,0,0,0,0,0,0,1,1,2,3,1,4
1cigth,0,0,0,1,0,1,3,1,4,2,1,3
1cs0yy,0,0,0,0,0,0,1,1,2,1,1,2
1csb8n,0,0,0,0,0,0,11,1,12,6,1,7
1cu241,0,0,0,1,0,1,5,1,6,4,1,5
1d8c1j,0,0,0,0,0,0,1,1,2,2,1,3
1d9mc8,0,0,0,0,0,0,1,1,2,2,1,3
1dgeip,0,0,0,2,0,2,10,1,11,4,1,5
1dj0z0,0,0,0,1,0,1,3,1,4,1,1,2
1dkavr,0,0,0,1,0,1,2,1,3,4,1,5
1dlszs,0,0,0,0,0,0,1,1,2,6,1,7
1dlxdp,0,0,0,0,1,1,3,1,4,2,1,3
1e0tip,0,0,0,1,0,1,3,1,4,1,1,2
1e1xne,0,0,0,0,0,0,9,1,10,3,1,4
1e7pqu,0,0,0,0,0,0,2,1,3,3,1,4
1ef39n,0,0,0,0,0,0,2,1,3,7,1,8
1ena7u,0,0,0,0,0,0,2,1,3,1,1,2
1er68i,0,0,0,0,0,0,1,1,2,12,1,13
1ewp5l,0,0,0,0,0,0,2,1,3,2,1,3
1f0qpc,0,0,0,2,0,2,4,1,5,5,1,6
1f155z,0,0,0,2,0,2,5,1,6,1,1,2
1f31nb,0,0,0,0,0,0,3,1,4,7,1,8
1f4tkr,0,0,0,0,0,0,1,1,2,2,1,3
1f62qm,0,0,0,0,0,0,1,1,2,1,1,2
1f8rsz,0,0,0,0,0,0,1,1,2,1,1,2
1fd9tx,0,0,0,1,0,1,8,1,9,4,1,5
1fg4al,0,0,0,0,0,0,1,1,2,3,1,4
1firy4,0,0,0,0,0,0,2,1,3,1,1,2
1fjg99,0,0,0,0,0,0,10,1,11,3,1,4
1fjxwe,0,0,0,3,0,3,1,1,2,3,1,4
1ftxhw,0,0,0,0,0,0,1,1,2,1,1,2
1fvh6o,0,0,0,0,0,0,1,1,2,1,1,2
1fw71d,0,0,0,1,0,1,2,4,6,1,1,2
1fyrwj,0,0,0,0,0,0,1,1,2,1,1,2
1g0al8,0,0,0,0,0,0,1,1,2,4,2,6
1g5ave,0,0,0,1,0,1,4,1,5,3,1,4
1g6ljq,0,0,0,0,0,0,4,1,5,3,1,4
1gvd19,0,0,0,1,0,1,1,1,2,1,1,2
1gw5cx,0,0,0,0,0,0,3,1,4,3,1,4
1h289b,0,0,0,1,0,1,3,1,4,1,1,2
1h5mz9,0,0,0,1,0,1,2,1,3,2,1,3
1hbgv1,0,0,0,0,0,0,5,1,6,1,1,2
1hlvy4,0,0,0,0,0,0,2,1,3,2,1,3
1hptrq,0,0,0,0,0,0,2,1,3,3,1,4
1hqgie,0,0,0,1,0,1,2,1,3,1,1,2
1hryua,0,0,0,0,0,0,3,1,4,2,1,3
1hs7b5,1,0,1,1,0,1,6,1,7,4,1,5
1hy5fq,0,0,0,0,0,0,1,1,2,1,1,2
1i221z,0,0,0,0,0,0,3,1,4,3,1,4
1i2xx7,0,0,0,0,0,0,6,1,7,1,1,2
1i9dkg,0,0,0,1,0,1,2,1,3,1,1,2
1i9ukm,0,0,0,0,0,0,2,1,3,2,1,3
1iegho,0,0,0,0,0,0,1,1,2,5,2,7
1ifemq,0,0,0,0,0,0,2,1,3,4,1,5
1ijo7s,0,0,0,0,0,0,3,1,4,2,1,3
1ik1e7,0,0,0,0,0,0,1,1,2,1,1,2
1is1tx,0,0,0,0,0,0,3,1,4,4,4,8
1itwf9,0,0,0,0,0,0,3,1,4,4,1,5
1iv1pb,0,0,0,0,0,0,3,1,4,4,1,5
1ixfkn,0,0,0,0,0,0,1,1,2,4,1,5
1j2zcy,0,0,0,1,0,1,5,1,6,1,1,2
1jd8nh,0,0,0,0,0,0,1,1,2,1,1,2
1jh4nv,0,0,0,0,0,0,4,1,5,1,1,2
1jml1h,0,0,0,0,0,0,7,1,8,3,1,4
1jojay,0,0,0,0,0,0,3,1,4,6,1,7
1jugfc,0,0,0,3,0,3,1,1,2,16,1,17
1jyreo,1,0,1,0,0,0,3,1,4,8,1,9
1jzveo,0,0,0,0,0,0,10,1,11,1,1,2
1k1okd,0,0,0,0,0,0,2,1,3,2,1,3
1k9zzb,0,0,0,0,1,1,2,1,3,1,1,2
1kh7ru,0,0,0,0,0,0,2,1,3,5,1,6
1kibcw,0,0,0,1,0,1,5,1,6,1,1,2
1kv96m,0,0,0,1,0,1,3,1,4,2,1,3
1kwoh5,0,0,0,1,0,1,2,1,3,1,1,2
1l0rh6,0,0,0,0,0,0,3,1,4,1,1,2
1l2dao,0,0,0,0,1,1,4,1,5,6,1,7
1l5fer,0,0,0,2,0,2,14,1,15,6,1,7
1l6bc3,0,0,0,0,0,0,2,1,3,1,1,2
1ldx9x,0,0,0,0,0,0,3,1,4,1,1,2
1lfssn,0,0,0,0,0,0,7,1,8,1,1,2
