id,original_title,alternative
4035279,"Transformers (2007)","Prime Directive (2007)"
3873249,"Terrore nello spazio (1965)","Schrecken im Weltall (1969)"
3182772,"Escape from New York (1981)","John Carpenter's Escape from New York (1981)"
3110956,"Dersu Uzala (1975)","Derusu Uzara (1975)"
3574295,"My Super Ex-Girlfriend (2006)","La mia super ex-ragazza (2006)"
3703937,"Quel maledetto treno blindato (1978)","Ein Haufen verwegener Hunde (1978)"
3345720,"In the Mouth of Madness (1994)","John Carpenter's In the Mouth of Madness (1995)"
3102478,"Delirious (2006)","Blitzlichtgewitter (2006)"
3951870,"The Manhattan Project (1986)","Gioco mortale (1986)"
3086581,"Dark Victory (1939)","Opfer einer großen Liebe (2005)"
3423479,"L'uccello dalle piume di cristallo (1970)","The Phantom of Terror (1982)"
3878900,"The Adventures of Buckaroo Banzai Across the 8th Dimension (1984)","The Adventures of Buckaroo Banzai (1984)"
3464068,"Leningrad (2009)","ìÅÎÉÎÇÒÁÄ (2009)"
3215423,"Flesh for Frankenstein (1973)","Up Frankenstein (1973)"
3118698,"Die Brücke (1959)","Il ponte (1959)"
2936322,"Avatar (2009)","James Cameron's Avatar (2009)"
3951414,"The Man from U.N.C.L.E. (2015)","The Man from UNCLE (2015)"
3932530,"The Hunger Games (2012)","Artemis (2011)"
4093966,"Waking the Dead (2000)","Sarah (2000)"
3928708,"The Haunting (1963)","Until the Blood Freezes (1963)"
2891382,"Alferd Packer: The Musical (1993)","Cannibal: The Musical (1993)"
4152170,"Última Parada 174 (2008)","Last Stop 174 (2008)"
3795823,"Silver Bullet (1985)","Unico indizio la luna piena (1985)"
4030401,"Torrente 2: Misión en Marbella (2001)","Misión en Marbella (2001)"
3194735,"Faces of Death (1978)","Le facce della morte (1978)"
2977149,"Black Christmas (1974)","Jessy - Die Treppe in den Tod (1975)"
3930162,"The Hills Have Eyes (2006)","The Hills have Eyes - Hügel der blutigen Augen (2006)"
3362787,"Ivan Groznyy. Skaz vtoroy: Boyarskiy zagovor (1958)","La congiura dei boiardi (1958)"
2945314,"Bait (2000)","Bait - Fette Beute (2001)"
3602409,"Noel (2004)","Un amore sotto l'albero (2004)"
3178376,"Enron: The Smartest Guys in the Room (2005)","Black Magic (2005)"
3692417,"Procès de Jeanne d'Arc (1962)","Der Prozeß der Jeanne d'Arc (1965)"
2958270,"Before I Go to Sleep (2014)","Avant d'aller dormir (2014)"
3710653,"Random Hearts (1999)","Schatten des Verdachts (1999)"
3093917,"De helaasheid der dingen (2009)","The Shittiness of Things (2009)"
3465344,"Les amants du Pont-Neuf (1991)","Les amants de Paris (1990)"
4027493,"Tomorrow Never Dies (1997)","007: Tomorrow Never Dies (1997)"
2858029,"A Little Bit of Heaven (2011)","Kein Mittel gegen Liebe (2011)"
3970392,"The Private Lives of Pippa Lee (2009)","Pippa Lee (2010)"
3891200,"The Boss (2016)","The Boss - Dick im Geschäft (2016)"
3235828,"Fury (2014)","Herz aus Stahl (2014)"
2844637,"54 (1998)","Fifty Four (1998)"
3880870,"The Andromeda Strain (1971)","Andromeda - Tödlicher Staub aus dem All (1972)"
3027833,"Central Intelligence (2016)","Una spia e mezzo (2016)"
4074507,"Vampires (1998)","John Carpenters Vampires (1998)"
3286253,"Head Over Heels (2001)","Top model per caso (2001)"
3268645,"Gu ling jie shao nian sha ren shi jian (1991)","Mord eines Jugendlichen auf der Guling-Strasse (1992)"
3265792,"Greed (1924)","Rapacità (1924)"
4071264,"Utomlennye solntsem (1994)","Die Sonne, die uns täuscht (1995)"
2943241,"Bad Company (2002)","Bad Company - Protocollo Praga (2002)"
2996861,"Breaking Away (1979)","The Cutters (1979)"
3297648,"Hideaway (1995)","Hideaway - Das Böse (1996)"
3496018,"Love in the Time of Cholera (2007)","L'amore ai tempi del colera (2007)"
3227362,"Fred Claus (2007)","Untitled Vince Vaughn/David Dobkin Project (2006)"
3244911,"Generation P (2011)","Wow! (2011)"
2994850,"Boyz n the Hood (1991)","Boyz N the Hood (1991)"
2990125,"Bonnie and Clyde (1967)","Bonnie and Clyde... Were Killers! (1967)"
3457714,"Le passé (2013)","The Past (2013)"
3282264,"Harold & Kumar Go to White Castle (2004)","Harold et Kumar chassent le burger (2004)"
3701739,"Qi jian (2005)","Die sieben Schwerter (2005)"
3392246,"Kapoor & Sons (2016)","Kapoor & Sons (Since 1921) (2016)"
3298701,"Highlander II: The Quickening (1991)","Highlander II (1991)"
4061276,"Underworld: Awakening (2012)","Monde infernal: L'éveil (2012)"
4112384,"White Oleander (2002)","Weißer Oleander (2003)"
3192898,"Eye of the Beholder (1999)","Voyeur (1999)"
3746518,"Réalité (2014)","Reality (2014)"
3348097,"Indiana Jones and the Temple of Doom (1984)","The Temple of Doom (1983)"
3035656,"Cheyenne Autumn (1964)","John Ford's Cheyenne Autumn (1964)"
3420054,"L'année dernière à Marienbad (1961)","L'anno scorso a Marienbad (1961)"
2929465,"Assault on Precinct 13 (1976)","Das Ende (1979)"
2962958,"Benvenuti al sud (2010)","Willkommen im Süden (2011)"
3699338,"Pushing Tin (1999)","Turbulenzen - und andere Katastrophen (2000)"
4007815,"The Yes Men Fix the World (2009)","Les Yes Men refont le monde (2009)"
3721303,"Remember Me (2010)","Remember Me - Lebe den Augenblick (2010)"
3765499,"Scream 2 (1997)","Scream Again (1997)"
3760663,"Saw IV (2007)","Saw IV - Il gioco continua... la morte sarà una scorciatoia (2007)"
4119494,"Winter's Bone (2010)","Un gelido inverno (2010)"
3469276,"Les visiteurs (1993)","Les visiteurs - Ils ne sont pas nés d'hier (1993)"
3238415,"Gake no ue no Ponyo (2008)","Ponyo das verzauberte Goldfischmädchen (2008)"
3327439,"I corpi presentano tracce di violenza carnale (1973)","Torso (1982)"
3853954,"Swiss Family Robinson (1960)","Robinson nell'isola dei corsari (1961)"
3091896,"Day & Night (2010)","Quando il giorno incontra la notte (2010)"
3265157,"Grbavica (2006)","Grbavica: The Land of My Dreams (2006)"
3149070,"Dumb & Dumber (1994)","Scemo & più scemo (1994)"
3938158,"The King and I (1956)","Il re ed io (1957)"
3380113,"Journey 2: The Mysterious Island (2012)","Die Reise zur geheimnisvollen Insel (2012)"
3140028,"Double Jeopardy (1999)","Doppelmord (2000)"
3525189,"Matchstick Men (2003)","Tricks (2003)"
3818477,"Sous le sable (2000)","Under the Sand (2001)"
4127372,"X (1963)","L'uomo dagli occhi a raggi X (1963)"
